,0
2039,41
2040,38
2041,36
2042,35
2043,34
2044,34
2045,34
2046,33
2047,32
2048,31
2049,30
2050,29
2051,29
2052,28
2053,27
2054,27
2055,28
2056,29
2057,30
2058,30
2059,31
2060,32
2061,34
2062,37
2063,41
2064,42
2065,42
2066,39
2067,35
2068,32
2069,31
2070,32
2071,33
2072,34
2073,33
2074,32
2075,31
2076,30
2077,31
2078,32
2079,34
2080,35
2081,35
2082,36
2083,35
2084,35
2085,34
2086,33
2087,33
2088,33
2089,34
2090,35
2091,36
2092,36
2093,35
2094,33
2095,32
2096,32
2097,31
2098,31
2099,30
2100,30
2101,30
2102,30
2103,30
2104,31
2105,32
2106,32
2107,33
2108,34
2109,34
2110,35
2111,36
2112,36
2113,36
2114,36
2115,36
2116,36
2117,36
2118,37
2119,38
2120,38
2121,39
2122,38
2123,37
2124,34
2125,31
2126,28
2127,26
2128,26
2129,28
2130,30
2131,32
2132,33
2133,33
2134,33
2135,33
2136,33
2137,34
2138,34
2139,35
2140,36
2141,37
2142,38
2143,39
2144,38
2145,36
2146,35
2147,34
2148,34
2149,36
2150,38
2151,39
2152,38
2153,37
2154,36
2155,36
2156,39
2157,42
2158,45
2159,45
2160,43
2161,39
2162,35
2163,32
2164,32
2165,33
2166,34
2167,34
2168,33
2169,32
2170,30
2171,29
2172,29
2173,30
2174,31
2175,32
2176,32
2177,32
2178,31
2179,31
2180,30
2181,30
2182,32
2183,34
2184,36
2185,37
2186,38
2187,37
2188,35
2189,33
2190,32
2191,32
2192,32
2193,33
2194,33
2195,33
2196,33
2197,33
2198,34
2199,34
2200,34
2201,34
2202,34
2203,34
2204,35
2205,35
2206,36
2207,36
2208,35
2209,35
2210,34
2211,35
2212,36
2213,37
2214,38
2215,38
2216,36
2217,33
2218,28
2219,25
2220,22
2221,22
2222,24
2223,27
2224,30
2225,32
2226,34
2227,33
2228,32
2229,31
2230,31
2231,31
2232,31
2233,31
2234,31
2235,31
2236,32
2237,35
2238,38
2239,40
2240,42
2241,42
2242,41
2243,39
2244,38
2245,37
2246,36
2247,34
2248,33
2249,32
2250,34
2251,38
2252,43
2253,46
2254,46
2255,43
2256,38
2257,33
2258,31
2259,31
2260,34
2261,36
2262,36
2263,34
2264,31
2265,29
2266,27
2267,28
2268,30
2269,32
2270,32
2271,32
2272,32
2273,32
2274,32
2275,32
2276,33
2277,33
2278,32
2279,30
2280,29
2281,27
2282,27
2283,27
2284,28
2285,29
2286,30
2287,30
2288,31
2289,32
2290,32
2291,32
2292,33
2293,33
2294,34
2295,35
2296,36
2297,36
2298,36
2299,36
2300,35
2301,34
2302,33
2303,33
2304,34
2305,36
2306,38
2307,39
2308,39
2309,37
2310,36
2311,35
2312,37
2313,40
2314,43
2315,44
2316,45
2317,44
2318,42
2319,40
2320,37
2321,35
2322,32
2323,31
2324,30
2325,28
2326,27
2327,24
2328,23
2329,22
2330,23
2331,26
2332,29
2333,31
2334,31
2335,31
2336,31
2337,31
2338,31
2339,32
2340,32
2341,32
2342,34
2343,38
2344,45
2345,52
2346,58
2347,60
2348,56
2349,49
2350,42
2351,38
2352,38
2353,40
2354,43
2355,44
2356,42
2357,37
2358,32
2359,28
2360,27
2361,27
2362,28
2363,29
2364,30
2365,30
2366,30
2367,30
2368,31
2369,32
2370,32
2371,31
2372,28
2373,25
2374,23
2375,21
2376,21
2377,22
2378,24
2379,26
2380,27
2381,28
2382,29
2383,29
2384,30
2385,31
2386,32
2387,33
2388,34
2389,35
2390,36
2391,37
2392,38
2393,38
2394,38
2395,36
2396,35
2397,34
2398,35
2399,37
2400,41
2401,44
2402,45
2403,43
2404,40
2405,36
2406,33
2407,32
2408,34
2409,35
2410,36
2411,36
2412,34
2413,32
2414,30
2415,28
2416,27
2417,26
2418,25
2419,25
2420,25
2421,26
2422,28
2423,30
2424,31
2425,33
2426,33
2427,34
2428,35
2429,36
2430,37
2431,36
2432,34
2433,31
2434,30
2435,32
2436,36
2437,42
2438,46
2439,48
2440,46
2441,44
2442,42
2443,40
2444,40
2445,40
2446,38
2447,35
2448,32
2449,29
2450,28
2451,27
2452,28
2453,29
2454,30
2455,30
2456,30
2457,29
2458,28
2459,28
2460,27
2461,27
2462,26
2463,25
2464,24
2465,24
2466,25
2467,27
2468,29
2469,30
2470,31
2471,31
2472,31
2473,31
2474,30
2475,31
2476,31
2477,32
2478,33
2479,33
2480,34
2481,34
2482,35
2483,35
2484,36
2485,36
2486,36
2487,37
2488,37
2489,39
2490,41
2491,45
2492,48
2493,50
2494,49
2495,46
2496,42
2497,36
2498,32
2499,28
2500,27
2501,26
2502,26
2503,27
2504,28
2505,29
2506,30
2507,31
2508,32
2509,33
2510,34
2511,34
2512,35
2513,36
2514,38
2515,39
2516,41
2517,42
2518,42
2519,42
2520,42
2521,41
2522,39
2523,37
2524,35
2525,33
2526,33
2527,34
2528,37
2529,41
2530,45
2531,48
2532,48
2533,47
2534,44
2535,40
2536,37
2537,35
2538,34
2539,34
2540,34
2541,33
2542,32
2543,30
2544,28
2545,27
2546,27
2547,27
2548,27
2549,28
2550,28
2551,28
2552,28
2553,28
2554,28
2555,28
2556,28
2557,28
2558,28
2559,29
2560,30
2561,30
2562,30
2563,31
2564,31
2565,31
2566,31
2567,31
2568,31
2569,32
2570,32
2571,32
2572,33
2573,33
2574,33
2575,33
2576,32
2577,32
2578,31
2579,31
2580,31
2581,31
2582,32
2583,32
2584,33
2585,34
2586,36
2587,37
2588,38
2589,39
2590,39
2591,37
2592,35
2593,32
2594,30
2595,29
2596,29
2597,30
2598,32
2599,34
2600,35
2601,36
2602,36
2603,36
2604,36
2605,37
2606,37
2607,37
