,0
1184,25
1185,25
1186,25
1187,26
1188,28
1189,33
1190,38
1191,41
1192,42
1193,40
1194,36
1195,33
1196,32
1197,34
1198,37
1199,41
1200,42
1201,42
1202,41
1203,40
1204,39
1205,39
1206,39
1207,39
1208,39
1209,38
1210,37
1211,36
1212,36
1213,36
1214,36
1215,36
1216,36
1217,36
1218,35
1219,34
1220,33
1221,32
1222,31
1223,30
1224,29
1225,29
1226,30
1227,31
1228,32
1229,32
1230,32
1231,33
1232,34
1233,36
1234,37
1235,37
1236,35
1237,29
1238,24
1239,20
1240,20
1241,22
1242,25
1243,27
1244,27
1245,28
1246,28
1247,28
1248,29
1249,29
1250,29
1251,29
1252,31
1253,34
1254,37
1255,40
1256,41
1257,42
1258,42
1259,44
1260,47
1261,51
1262,54
1263,55
1264,55
1265,54
1266,53
1267,52
1268,51
1269,50
1270,48
1271,45
1272,43
1273,41
1274,39
1275,38
1276,38
1277,37
1278,37
1279,37
1280,37
1281,37
1282,37
1283,37
1284,36
1285,35
1286,33
1287,32
1288,30
1289,29
1290,28
1291,27
1292,27
1293,27
1294,28
1295,28
1296,28
1297,28
1298,27
1299,26
1300,26
1301,26
1302,25
1303,26
1304,26
1305,28
1306,30
1307,32
1308,32
1309,31
1310,30
1311,28
1312,27
1313,26
1314,26
1315,26
1316,25
1317,24
1318,23
1319,22
1320,22
1321,23
1322,25
1323,28
1324,30
1325,33
1326,37
1327,40
1328,43
1329,45
1330,44
1331,42
1332,40
1333,39
1334,40
1335,41
1336,42
1337,42
1338,41
1339,39
1340,38
1341,38
1342,38
1343,37
1344,37
1345,35
1346,33
1347,32
1348,32
1349,34
1350,37
1351,40
1352,42
1353,42
1354,41
1355,40
1356,37
1357,35
1358,34
1359,34
1360,34
1361,34
1362,33
1363,32
1364,30
1365,28
1366,27
1367,28
1368,30
1369,33
1370,35
1371,34
1372,31
1373,29
1374,27
1375,26
1376,28
1377,29
1378,30
1379,29
1380,27
1381,24
1382,23
1383,22
1384,22
1385,22
1386,22
1387,22
1388,24
1389,26
1390,29
1391,33
1392,35
1393,37
1394,38
1395,39
